[20:47:42] [main/INFO]: Found mod file "create_connected-1.1.13-mc1.21.1.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "create_hypertube-0.4.0-NEOFORGE.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "create_jetpack-forge-5.1.2.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "createaddition-1.5.10.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "createbetterfps-1.21.1-1.1.3.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "createdeco-2.1.2-1.21.1-neo.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "createdieselgenerators-1.21.1-1.3.8.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "creategoggles-1.21.1-6.1.1-[NEOFORGE].jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "CreativeCore_NEOFORGE_v2.13.35_mc1.21.1.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "cristellib-neoforge-1.21.1-3.0.3.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "crittersandcompanions-neoforge-1.21.1-2.3.4.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "cryonicconfig-neoforge-1.0.0+mc1.21.11.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "curios-neoforge-9.5.1+1.21.1.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "cwb-neoforge-3.0.0+mc1.21.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "DnDesires-1.21.1-2.2d-BETA.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "dtbop-3.4.0.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "DungeonsArise-1.21.1-2.1.68-release.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "DungeonsAriseSevenSeas-1.21.x-1.0.4-neoforge.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "dynamic-fps-3.11.4+minecraft-1.21.0-neoforge.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "dynamictrees-neoforge-1.21.1-1.7.0.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "elevatorid-neoforge-1.21.1-1.11.4.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "enchdesc-neoforge-1.21.1-21.1.9.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
